,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 08:15:00,2019-01-02 08:15:00,20.816394380203064,14.747630807304859,-12.35689368686866,0.0,5192.886216478986,58.11543367346943,0.0,5251.001650152456,143128750.56005487,21.0,25.0,0.45,25.0,21.0,0.45,-0.8787536758281248,21.30192862720031,-26.55293027735277
2019-01-02 08:20:00,2019-01-02 08:20:00,20.81665895312858,14.778776942320519,-12.422955555555575,0.0,5185.40334585832,58.11543367346943,0.0,5243.51877953179,144702987.55504432,21.0,25.0,0.45,25.0,21.0,0.45,-0.8760877801454986,21.202634881360254,-26.446153660892044
2019-01-02 08:25:00,2019-01-02 08:25:00,20.816931996623055,14.80786703018748,-12.492275000000006,0.0,5177.680903590375,58.11543367346943,0.0,5235.796337263845,146274771.31277052,21.0,25.0,0.45,25.0,21.0,0.45,-0.8735934408556343,21.10999554442249,-26.345791881686335
2019-01-02 08:30:00,2019-01-02 08:30:00,20.81716285317134,14.835180896900226,-12.561632323232345,0.0,5171.151627477267,58.11543367346943,0.0,5229.2670611507365,147844491.65690368,21.0,25.0,0.45,25.0,21.0,0.45,-0.8712544203720842,21.023357426867847,-26.252624488018583
2019-01-02 08:35:00,2019-01-02 08:35:00,20.817377463911725,14.860985537907482,-12.627807828282812,0.0,5165.081828759279,58.11543367346943,0.0,5223.197262432749,149412346.52124715,21.0,25.0,0.45,25.0,21.0,0.45,-0.8690445787938609,20.941711275685975,-26.164908538118723
2019-01-02 08:40:00,2019-01-02 08:40:00,20.81759438140898,14.885604807076334,-12.687581818181798,0.0,5158.946788432873,58.11543367346943,0.0,5217.062222106343,150978383.46277693,21.0,25.0,0.45,25.0,21.0,0.45,-0.8669340005333516,20.86392065268167,-26.080982874788013
2019-01-02 08:45:00,2019-01-02 08:45:00,20.81783014089376,14.909327749862541,-12.73773459595958,0.0,5152.27884340877,58.11543367346943,0.0,5210.39427708224,152542510.67328638,21.0,25.0,0.45,25.0,21.0,0.45,-0.864895969470972,20.788978500578978,-25.99937277766122
2019-01-02 08:50:00,2019-01-02 08:50:00,20.81810074345566,14.932428560783478,-12.775046464646493,0.0,5144.625437617723,58.11543367346943,0.0,5202.740871291193,154104501.0318523,21.0,25.0,0.45,25.0,21.0,0.45,-0.8629050761376161,20.715935445391068,-25.91867631668226
2019-01-02 08:55:00,2019-01-02 08:55:00,20.818422088234797,14.955177916806463,-12.796297727272702,0.0,5135.536898409776,58.11543367346943,0.0,5193.652332083246,155663986.3968615,21.0,25.0,0.45,25.0,21.0,0.45,-0.86093620099796,20.643861456314,-25.837513788397246
2019-01-02 09:00:00,2019-01-02 09:00:00,20.818803054124317,14.977844131819268,-12.800000000000011,0.0,5124.762105574886,58.11543367346943,0.0,5182.877539248356,157220482.3592955,21.0,25.0,0.45,25.0,21.0,0.45,-0.8589654073431597,20.571877961542683,-25.75475550079104
